EM,EN,unicode,label,strategy,image
👗✨,bright dress,U+1F457 U+2728,1,0,./generated_img_dataset/train_google/21.png
☀️👗,bright dress,U+2600 U+FE0F U+1F457,1,0,./generated_img_dataset/train_google/22.png
👗✨,bright dress,U+1F457 U+2728,1,0,./generated_img_dataset/train_google/23.png
🎇🏫,bright room,U+1F387 U+1F3EB,1,0,./generated_img_dataset/train_google/24.png
🔆🚹🚺,bright room,U+1F506 U+1F6B9 U+1F6BA,1,0,./generated_img_dataset/train_google/25.png
✨🏠,bright room,U+2728 U+1F3E0,1,0,./generated_img_dataset/train_google/26.png
💡🕯️🏠,bright room,U+1F4A1 U+1F56F U+FE0F U+1F3E0,1,0,./generated_img_dataset/train_google/27.png
☀️🏫,bright room,U+2600 U+FE0F U+1F3EB,1,0,./generated_img_dataset/train_google/28.png
💡💒,bright room,U+1F4A1 U+1F492,1,0,./generated_img_dataset/train_google/29.png
☀️,bright room,U+2600 U+FE0F,1,4,./generated_img_dataset/train_google/30.png
☀️🏫,bright room,U+2600 U+FE0F U+1F3EB,1,0,./generated_img_dataset/train_google/31.png
🕶️🕴️,dark shadow,U+1F576 U+FE0F U+1F574 U+FE0F,1,1,./generated_img_dataset/train_google/32.png
⚫👥,dark shadow,U+26AB U+1F465,1,1,./generated_img_dataset/train_google/33.png
🕶️🕶️👤,dark shadow,U+1F576 U+FE0F U+1F576 U+FE0F U+1F464,1,1,./generated_img_dataset/train_google/34.png
❌💡🧍,dark shadow,U+274C U+1F4A1 U+1F9CD,1,1,./generated_img_dataset/train_google/35.png
🌑👤,dark shadow,U+1F311 U+1F464,1,1,./generated_img_dataset/train_google/36.png
🌑,dark shadow,U+1F311,1,4,./generated_img_dataset/train_google/37.png
🌚,dark shadow,U+1F31A,1,4,./generated_img_dataset/train_google/38.png
🌑🚹,dark shadow,U+1F311 U+1F6B9,1,1,./generated_img_dataset/train_google/39.png
🕶️🌅,dark day,U+1F576 U+FE0F U+1F305,1,0,./generated_img_dataset/train_google/40.png
⚫📆,dark day,U+26AB U+1F4C6,1,0,./generated_img_dataset/train_google/41.png
🌪️🌫️🌫️,dark day,U+1F32A U+FE0F U+1F32B U+FE0F U+1F32B U+FE0F,1,1,./generated_img_dataset/train_google/42.png
⛈️🌫️🌑,dark day,U+26C8 U+FE0F U+1F32B U+FE0F U+1F311,1,1,./generated_img_dataset/train_google/43.png
🌑📆,dark day,U+1F311 U+1F4C6,1,0,./generated_img_dataset/train_google/44.png
😈👣,dark day,U+1F608 U+1F463,1,1,./generated_img_dataset/train_google/45.png
🌑,dark day,U+1F311,1,4,./generated_img_dataset/train_google/46.png
🌑🌃,dark day,U+1F311 U+1F303,1,0,./generated_img_dataset/train_google/47.png
🕶️🥛,dark glass,U+1F576 U+FE0F U+1F95B,1,0,./generated_img_dataset/train_google/48.png
⚫🥛,dark glass,U+26AB U+1F95B,1,0,./generated_img_dataset/train_google/49.png
🕶️🕶️,dark glass,U+1F576 U+FE0F U+1F576 U+FE0F,1,3,./generated_img_dataset/train_google/50.png
🕶️,dark glass,U+1F576 U+FE0F,1,4,./generated_img_dataset/train_google/51.png
🌑🍷,dark glass,U+1F311 U+1F377,1,0,./generated_img_dataset/train_google/52.png
👿,dark glass,U+1F47F,1,4,./generated_img_dataset/train_google/53.png
🌃,dark glass,U+1F303,1,4,./generated_img_dataset/train_google/54.png
🕶️,dark glass,U+1F576 U+FE0F,1,4,./generated_img_dataset/train_google/55.png
🕶️🌊,dark undercurrent,U+1F576 U+FE0F U+1F30A,1,0,./generated_img_dataset/train_google/56.png
⚫🌊,dark undercurrent,U+26AB U+1F30A,1,0,./generated_img_dataset/train_google/57.png
⚫⛈️,dark undercurrent,U+26AB U+26C8 U+FE0F,1,0,./generated_img_dataset/train_google/58.png
🌑🌊💦,dark undercurrent,U+1F311 U+1F30A U+1F4A6,1,0,./generated_img_dataset/train_google/59.png
🌑🔞🌊,dark undercurrent,U+1F311 U+1F51E U+1F30A,1,0,./generated_img_dataset/train_google/60.png
👿😱😨,dark undercurrent,U+1F47F U+1F631 U+1F628,1,2,./generated_img_dataset/train_google/61.png
♠️👿,dark undercurrent,U+2660 U+FE0F U+1F47F,1,1,./generated_img_dataset/train_google/62.png
😈📈,dark undercurrent,U+1F608 U+1F4C8,1,1,./generated_img_dataset/train_google/63.png
🕶️🗳️,dark corner,U+1F576 U+FE0F U+1F5F3 U+FE0F,1,0,./generated_img_dataset/train_google/64.png
⚫🧱,dark corner,U+26AB U+1F9F1,1,0,./generated_img_dataset/train_google/65.png
🔦🚫🚫,dark corner,U+1F526 U+1F6AB U+1F6AB,1,1,./generated_img_dataset/train_google/66.png
🌑❌💡,dark corner,U+1F311 U+274C U+1F4A1,1,1,./generated_img_dataset/train_google/67.png
🌑🏫🤫㊙️,dark corner,U+1F311 U+1F3EB U+1F92B U+3299 U+FE0F,1,1,./generated_img_dataset/train_google/68.png
😨👹,dark corner,U+1F628 U+1F479,1,1,./generated_img_dataset/train_google/69.png
🌑🪃,dark corner,U+1F311 U+1FA83,1,0,./generated_img_dataset/train_google/70.png
🕶️🏠,dark corner,U+1F576 U+FE0F U+1F3E0,1,0,./generated_img_dataset/train_google/71.png
🕶️👿,dark purpose,U+1F576 U+FE0F U+1F47F,1,1,./generated_img_dataset/train_google/72.png
⚫😈,dark purpose,U+26AB U+1F608,1,1,./generated_img_dataset/train_google/73.png
😈😈😈😈,dark purpose,U+1F608 U+1F608 U+1F608 U+1F608,1,3,./generated_img_dataset/train_google/74.png
🌑😵💀,dark purpose,U+1F311 U+1F635 U+1F480,1,1,./generated_img_dataset/train_google/75.png
😈❓🤷‍♀️,dark purpose,U+1F608 U+2753 U+1F937 U+200D U+2640 U+FE0F,1,1,./generated_img_dataset/train_google/76.png
👿👹👺😏,dark purpose,U+1F47F U+1F479 U+1F47A U+1F60F,1,2,./generated_img_dataset/train_google/77.png
👿😈,dark purpose,U+1F47F U+1F608,1,3,./generated_img_dataset/train_google/78.png
🌑😈👹,dark purpose,U+1F311 U+1F608 U+1F479,1,1,./generated_img_dataset/train_google/79.png
👉🏞️,right bank,U+1F449 U+1F3DE U+FE0F,1,0,./generated_img_dataset/train_google/80.png
👉🏦,right bank,U+1F449 U+1F3E6,1,0,./generated_img_dataset/train_google/81.png
➡️🏦💰,right bank,U+27A1 U+FE0F U+1F3E6 U+1F4B0,1,0,./generated_img_dataset/train_google/82.png
✅🏦,right bank,U+2705 U+1F3E6,1,0,./generated_img_dataset/train_google/83.png
✔️🏦,right bank,U+2714 U+FE0F U+1F3E6,1,0,./generated_img_dataset/train_google/84.png
👉🏦,right bank,U+1F449 U+1F3E6,1,0,./generated_img_dataset/train_google/85.png
👍🏦💰💰💰,right bank,U+1F44D U+1F3E6 U+1F4B0 U+1F4B0 U+1F4B0,1,0,./generated_img_dataset/train_google/86.png
👍🏦💸💹,right bank,U+1F44D U+1F3E6 U+1F4B8 U+1F4B9,1,0,./generated_img_dataset/train_google/87.png
✋👉,right hand,U+270B U+1F449,1,0,./generated_img_dataset/train_google/88.png
👉🖐️,right hand,U+1F449 U+1F590 U+FE0F,1,0,./generated_img_dataset/train_google/89.png
➡️🖐️,right hand,U+27A1 U+FE0F U+1F590 U+FE0F,1,0,./generated_img_dataset/train_google/90.png
👉🖐️,right hand,U+1F449 U+1F590 U+FE0F,1,0,./generated_img_dataset/train_google/91.png
👉🤚,right hand,U+1F449 U+1F91A,1,0,./generated_img_dataset/train_google/92.png
👉👋,right hand,U+1F449 U+1F44B,1,0,./generated_img_dataset/train_google/93.png
👉✔️,right hand,U+1F449 U+2714 U+FE0F,1,1,./generated_img_dataset/train_google/94.png
🤲🤚,right hand,U+1F932 U+1F91A,1,1,./generated_img_dataset/train_google/95.png
👉,right side,U+1F449,1,4,./generated_img_dataset/train_google/96.png
👉👉,right side,U+1F449 U+1F449,1,3,./generated_img_dataset/train_google/97.png
➡️💁‍♀️,right side,U+27A1 U+FE0F U+1F481 U+200D U+2640 U+FE0F,1,2,./generated_img_dataset/train_google/98.png
👉🧍,right side,U+1F449 U+1F9CD,1,1,./generated_img_dataset/train_google/99.png
👉,right side,U+1F449,1,4,./generated_img_dataset/train_google/100.png
👉,right side,U+1F449,1,4,./generated_img_dataset/train_google/101.png
👤👉,right side,U+1F464 U+1F449,1,1,./generated_img_dataset/train_google/102.png
➡️🧑‍🤝‍🧑👈,right side,U+27A1 U+FE0F U+1F9D1 U+200D U+1F91D U+200D U+1F9D1 U+1F448,1,1,./generated_img_dataset/train_google/103.png
✔️,right decision,U+2714 U+FE0F,1,4,./generated_img_dataset/train_google/104.png
✔️💡👩👍,right decision,U+2714 U+FE0F U+1F4A1 U+1F469 U+1F44D,1,0,./generated_img_dataset/train_google/105.png
➡️🤝,right decision,U+27A1 U+FE0F U+1F91D,1,0,./generated_img_dataset/train_google/106.png
✅🧠,right decision,U+2705 U+1F9E0,1,0,./generated_img_dataset/train_google/107.png
👍,right decision,U+1F44D,1,4,./generated_img_dataset/train_google/108.png
✅,right decision,U+2705,1,4,./generated_img_dataset/train_google/109.png
🤔💭💡📈,right decision,U+1F914 U+1F4AD U+1F4A1 U+1F4C8,1,1,./generated_img_dataset/train_google/110.png
🤔✅,right decision,U+1F914 U+2705,1,1,./generated_img_dataset/train_google/111.png
✔️,right answer,U+2714 U+FE0F,1,4,./generated_img_dataset/train_google/112.png
✔️📄✍️,right answer,U+2714 U+FE0F U+1F4C4 U+270D U+FE0F,1,0,./generated_img_dataset/train_google/113.png
➡️✍️✅,right answer,U+27A1 U+FE0F U+270D U+FE0F U+2705,1,0,./generated_img_dataset/train_google/114.png
✅📝,right answer,U+2705 U+1F4DD,1,0,./generated_img_dataset/train_google/115.png
💯,right answer,U+1F4AF,1,4,./generated_img_dataset/train_google/116.png
✅,right answer,U+2705,1,4,./generated_img_dataset/train_google/117.png
🤔❓📝💡✏️✔️,right answer,U+1F914 U+2753 U+1F4DD U+1F4A1 U+270F U+FE0F U+2714 U+FE0F,1,1,./generated_img_dataset/train_google/118.png
🙋‍♀️👍✅,right answer,U+1F64B U+200D U+2640 U+FE0F U+1F44D U+2705,1,1,./generated_img_dataset/train_google/119.png
✔️👨,right man,U+2714 U+FE0F U+1F468,1,0,./generated_img_dataset/train_google/120.png
✔️👨💕,right man,U+2714 U+FE0F U+1F468 U+1F495,1,0,./generated_img_dataset/train_google/121.png
➡️👨👌,right man,U+27A1 U+FE0F U+1F468 U+1F44C,1,0,./generated_img_dataset/train_google/122.png
👍🕴️,right man,U+1F44D U+1F574 U+FE0F,1,0,./generated_img_dataset/train_google/123.png
👍👨,right man,U+1F44D U+1F468,1,0,./generated_img_dataset/train_google/124.png
👉👱🏻‍♂️,right man,U+1F449 U+1F471 U+1F3FB U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/train_google/125.png
👩😍👨✔️,right man,U+1F469 U+1F60D U+1F468 U+2714 U+FE0F,1,1,./generated_img_dataset/train_google/126.png
👩‍❤️‍💋‍👨👨‍👩‍👦‍👦,right man,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468 U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,1,1,./generated_img_dataset/train_google/127.png
👉🛣️,right road,U+1F449 U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/128.png
👉🛣️,right road,U+1F449 U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/129.png
➡️🛣️,right road,U+27A1 U+FE0F U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/130.png
✅🛣️,right road,U+2705 U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/131.png
✔️🛣️,right road,U+2714 U+FE0F U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/132.png
👉🛣️,right road,U+1F449 U+1F6E3 U+FE0F,1,0,./generated_img_dataset/train_google/133.png
🚗🛣️✔️,right road,U+1F697 U+1F6E3 U+FE0F U+2714 U+FE0F,1,0,./generated_img_dataset/train_google/134.png
🛣️↗️,right road,U+1F6E3 U+FE0F U+2197 U+FE0F,1,1,./generated_img_dataset/train_google/135.png
✔️,right thing,U+2714 U+FE0F,1,4,./generated_img_dataset/train_google/136.png
✔️👍,right thing,U+2714 U+FE0F U+1F44D,1,1,./generated_img_dataset/train_google/137.png
➡️💯,right thing,U+27A1 U+FE0F U+1F4AF,1,1,./generated_img_dataset/train_google/138.png
👍✅,right thing,U+1F44D U+2705,1,1,./generated_img_dataset/train_google/139.png
👍,right thing,U+1F44D,1,4,./generated_img_dataset/train_google/140.png
💯,right thing,U+1F4AF,1,4,./generated_img_dataset/train_google/141.png
🗣️✔️,right thing,U+1F5E3 U+FE0F U+2714 U+FE0F,1,1,./generated_img_dataset/train_google/142.png
😀👍,right thing,U+1F600 U+1F44D,1,1,./generated_img_dataset/train_google/143.png
🩳🏖️,short holiday,U+1FA73 U+1F3D6 U+FE0F,1,0,./generated_img_dataset/train_google/144.png
🥲🤏✈️⛩️,short holiday,U+1F972 U+1F90F U+2708 U+FE0F U+26E9 U+FE0F,1,1,./generated_img_dataset/train_google/145.png
⏳🏖️✈️🧳,short holiday,U+23F3 U+1F3D6 U+FE0F U+2708 U+FE0F U+1F9F3,1,0,./generated_img_dataset/train_google/146.png
⌛🏖️,short holiday,U+231B U+1F3D6 U+FE0F,1,0,./generated_img_dataset/train_google/147.png
↔️🏝️🍾💆🧖🧘,short holiday,U+2194 U+FE0F U+1F3DD U+FE0F U+1F37E U+1F486 U+1F9D6 U+1F9D8,1,1,./generated_img_dataset/train_google/148.png
🤏🏖️,short holiday,U+1F90F U+1F3D6 U+FE0F,1,0,./generated_img_dataset/train_google/149.png
🤏🧳🛄,short holiday,U+1F90F U+1F9F3 U+1F6C4,1,1,./generated_img_dataset/train_google/150.png
🛫🛬,short holiday,U+1F6EB U+1F6EC,1,1,./generated_img_dataset/train_google/151.png
🩳🍚,short ration,U+1FA73 U+1F35A,1,0,./generated_img_dataset/train_google/152.png
🤏🍠🍞🥚,short ration,U+1F90F U+1F360 U+1F35E U+1F95A,1,0,./generated_img_dataset/train_google/153.png
🤏🥔🍠🍚,short ration,U+1F90F U+1F954 U+1F360 U+1F35A,1,0,./generated_img_dataset/train_google/154.png
❎🥘,short ration,U+274E U+1F958,1,0,./generated_img_dataset/train_google/155.png
⏬🍚🍜,short ration,U+23EC U+1F35A U+1F35C,1,0,./generated_img_dataset/train_google/156.png
🤏🍞,short ration,U+1F90F U+1F35E,1,0,./generated_img_dataset/train_google/157.png
🤏🌾,short ration,U+1F90F U+1F33E,1,0,./generated_img_dataset/train_google/158.png
🤏🥔,short ration,U+1F90F U+1F954,1,0,./generated_img_dataset/train_google/159.png
🩳👩🏻‍🦰,short hair,U+1FA73 U+1F469 U+1F3FB U+200D U+1F9B0,1,0,./generated_img_dataset/train_google/160.png
💇‍♀️➡️👩‍🦰,short hair,U+1F487 U+200D U+2640 U+FE0F U+27A1 U+FE0F U+1F469 U+200D U+1F9B0,1,1,./generated_img_dataset/train_google/161.png
💇,short hair,U+1F487,1,4,./generated_img_dataset/train_google/162.png
🤏🦱,short hair,U+1F90F U+1F9B1,1,0,./generated_img_dataset/train_google/163.png
👩‍🦰👩‍🦱🧑‍🦱,short hair,U+1F469 U+200D U+1F9B0 U+1F469 U+200D U+1F9B1 U+1F9D1 U+200D U+1F9B1,1,2,./generated_img_dataset/train_google/164.png
💇‍♀️,short hair,U+1F487 U+200D U+2640 U+FE0F,1,4,./generated_img_dataset/train_google/165.png
🤏💇‍♀️,short hair,U+1F90F U+1F487 U+200D U+2640 U+FE0F,1,0,./generated_img_dataset/train_google/166.png
👨‍🦱👩‍🦱,short hair,U+1F468 U+200D U+1F9B1 U+1F469 U+200D U+1F9B1,1,2,./generated_img_dataset/train_google/167.png
🩳🛳️💨,short smokestack,U+1FA73 U+1F6F3 U+FE0F U+1F4A8,1,0,./generated_img_dataset/train_google/168.png
🤏🏭,short smokestack,U+1F90F U+1F3ED,1,0,./generated_img_dataset/train_google/169.png
🚢💨,short smokestack,U+1F6A2 U+1F4A8,1,1,./generated_img_dataset/train_google/170.png
🤏🏭,short smokestack,U+1F90F U+1F3ED,1,0,./generated_img_dataset/train_google/171.png
♨️🫁💨,short smokestack,U+2668 U+FE0F U+1FAC1 U+1F4A8,1,1,./generated_img_dataset/train_google/172.png
🤏🔩⚙️,short smokestack,U+1F90F U+1F529 U+2699 U+FE0F,1,1,./generated_img_dataset/train_google/173.png
🤏🚢,short smokestack,U+1F90F U+1F6A2,1,0,./generated_img_dataset/train_google/174.png
🤏🚬📦,short smokestack,U+1F90F U+1F6AC U+1F4E6,1,0,./generated_img_dataset/train_google/175.png
🩳🔌,short supply,U+1FA73 U+1F50C,1,0,./generated_img_dataset/train_google/176.png
🤏💡⚡,short supply,U+1F90F U+1F4A1 U+26A1,1,0,./generated_img_dataset/train_google/177.png
❌✏️🪓🔧,short supply,U+274C U+270F U+FE0F U+1FA93 U+1F527,1,0,./generated_img_dataset/train_google/178.png
❎🚰,short supply,U+274E U+1F6B0,1,0,./generated_img_dataset/train_google/179.png
⏬🧥👚👕👖,short supply,U+23EC U+1F9E5 U+1F45A U+1F455 U+1F456,1,0,./generated_img_dataset/train_google/180.png
‼️⚠️🍞,short supply,U+203C U+FE0F U+26A0 U+FE0F U+1F35E,1,0,./generated_img_dataset/train_google/181.png
🛖❌,short supply,U+1F6D6 U+274C,1,0,./generated_img_dataset/train_google/182.png
🤏📦,short supply,U+1F90F U+1F4E6,1,0,./generated_img_dataset/train_google/183.png
🩳💵,short money,U+1FA73 U+1F4B5,1,0,./generated_img_dataset/train_google/184.png
🤏💲,short money,U+1F90F U+1F4B2,1,0,./generated_img_dataset/train_google/185.png
❌💰,short money,U+274C U+1F4B0,1,0,./generated_img_dataset/train_google/186.png
❎💰,short money,U+274E U+1F4B0,1,0,./generated_img_dataset/train_google/187.png
🤷💸💸💸,short money,U+1F937 U+1F4B8 U+1F4B8 U+1F4B8,1,1,./generated_img_dataset/train_google/188.png
🤏💵,short money,U+1F90F U+1F4B5,1,0,./generated_img_dataset/train_google/189.png
💰💸😔,short money,U+1F4B0 U+1F4B8 U+1F614,1,1,./generated_img_dataset/train_google/190.png
🤏💷,short money,U+1F90F U+1F4B7,1,0,./generated_img_dataset/train_google/191.png
🩳✈️,short flight,U+1FA73 U+2708 U+FE0F,1,0,./generated_img_dataset/train_google/192.png
🥲✈️,short flight,U+1F972 U+2708 U+FE0F,1,1,./generated_img_dataset/train_google/193.png
⏳✈️,short flight,U+23F3 U+2708 U+FE0F,1,0,./generated_img_dataset/train_google/194.png
⏳✈️,short flight,U+23F3 U+2708 U+FE0F,1,0,./generated_img_dataset/train_google/195.png
⏳✈️🛫🛬,short flight,U+23F3 U+2708 U+FE0F U+1F6EB U+1F6EC,1,0,./generated_img_dataset/train_google/196.png
🤏✈️,short flight,U+1F90F U+2708 U+FE0F,1,0,./generated_img_dataset/train_google/197.png
🛫🤏⌛🛬,short flight,U+1F6EB U+1F90F U+231B U+1F6EC,1,1,./generated_img_dataset/train_google/198.png
🛫🛬,short flight,U+1F6EB U+1F6EC,1,1,./generated_img_dataset/train_google/199.png
🩳🗓️,short month,U+1FA73 U+1F5D3 U+FE0F,1,0,./generated_img_dataset/train_google/200.png
🤏📅,short month,U+1F90F U+1F4C5,1,0,./generated_img_dataset/train_google/201.png
⏳🗓️,short month,U+23F3 U+1F5D3 U+FE0F,1,0,./generated_img_dataset/train_google/202.png
⌛🗓️,short month,U+231B U+1F5D3 U+FE0F,1,0,./generated_img_dataset/train_google/203.png
⏳🗓️📅,short month,U+23F3 U+1F5D3 U+FE0F U+1F4C5,1,0,./generated_img_dataset/train_google/204.png
🔜📅,short month,U+1F51C U+1F4C5,1,0,./generated_img_dataset/train_google/205.png
🤏⌛🗓️,short month,U+1F90F U+231B U+1F5D3 U+FE0F,1,0,./generated_img_dataset/train_google/206.png
⌛📅,short month,U+231B U+1F4C5,1,0,./generated_img_dataset/train_google/207.png
🩳📖,short story,U+1FA73 U+1F4D6,1,0,./generated_img_dataset/train_google/208.png
🤏📙📖,short story,U+1F90F U+1F4D9 U+1F4D6,1,0,./generated_img_dataset/train_google/209.png
⏳📕,short story,U+23F3 U+1F4D5,1,0,./generated_img_dataset/train_google/210.png
⌛📔,short story,U+231B U+1F4D4,1,0,./generated_img_dataset/train_google/211.png
⌚📖,short story,U+231A U+1F4D6,1,0,./generated_img_dataset/train_google/212.png
🤏🗣️,short story,U+1F90F U+1F5E3 U+FE0F,1,0,./generated_img_dataset/train_google/213.png
🤏🗣️📖,short story,U+1F90F U+1F5E3 U+FE0F U+1F4D6,1,0,./generated_img_dataset/train_google/214.png
⌛📖,short story,U+231B U+1F4D6,1,0,./generated_img_dataset/train_google/215.png
🩳👽,short life,U+1FA73 U+1F47D,1,0,./generated_img_dataset/train_google/216.png
🤏☠️,short life,U+1F90F U+2620 U+FE0F,1,0,./generated_img_dataset/train_google/217.png
⏳🕐👩‍🦳🧓,short life,U+23F3 U+1F550 U+1F469 U+200D U+1F9B3 U+1F9D3,1,1,./generated_img_dataset/train_google/218.png
👋😀⌛,short life,U+1F44B U+1F600 U+231B,1,1,./generated_img_dataset/train_google/219.png
⏳🫀💓,short life,U+23F3 U+1FAC0 U+1F493,1,1,./generated_img_dataset/train_google/220.png
👨‍👩‍👧‍👧👉💀👨‍👩‍👧,short life,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467 U+1F449 U+1F480 U+1F468 U+200D U+1F469 U+200D U+1F467,1,1,./generated_img_dataset/train_google/221.png
👶🧓⚰️⌛🤏,short life,U+1F476 U+1F9D3 U+26B0 U+FE0F U+231B U+1F90F,1,1,./generated_img_dataset/train_google/222.png
⌛⚰️,short life,U+231B U+26B0 U+FE0F,1,1,./generated_img_dataset/train_google/223.png
👎📝,dirty job,U+1F44E U+1F4DD,1,0,./generated_img_dataset/train_google/224.png
💩🧹,dirty job,U+1F4A9 U+1F9F9,1,0,./generated_img_dataset/train_google/225.png
🪠🚽🧹,dirty job,U+1FAA0 U+1F6BD U+1F9F9,1,1,./generated_img_dataset/train_google/226.png
🦠💣🦹‍♂️🦠🦹💣🦠,dirty job,U+1F9A0 U+1F4A3 U+1F9B9 U+200D U+2642 U+FE0F U+1F9A0 U+1F9B9 U+1F4A3 U+1F9A0,1,1,./generated_img_dataset/train_google/227.png
🤮🤢👷‍♂️,dirty job,U+1F92E U+1F922 U+1F477 U+200D U+2642 U+FE0F,1,0,./generated_img_dataset/train_google/228.png
💩💼,dirty job,U+1F4A9 U+1F4BC,1,0,./generated_img_dataset/train_google/229.png
🤢🧳,dirty job,U+1F922 U+1F9F3,1,0,./generated_img_dataset/train_google/230.png
🚽👷🛠️,dirty job,U+1F6BD U+1F477 U+1F6E0 U+FE0F,1,1,./generated_img_dataset/train_google/231.png
👎🦶,dirty foot,U+1F44E U+1F9B6,1,0,./generated_img_dataset/train_google/232.png
🤢🦶,dirty foot,U+1F922 U+1F9B6,1,0,./generated_img_dataset/train_google/233.png
🥵🦶💩,dirty foot,U+1F975 U+1F9B6 U+1F4A9,1,0,./generated_img_dataset/train_google/234.png
🧼🦶,dirty foot,U+1F9FC U+1F9B6,1,1,./generated_img_dataset/train_google/235.png
🤮🦶,dirty foot,U+1F92E U+1F9B6,1,0,./generated_img_dataset/train_google/236.png
💩👣,dirty foot,U+1F4A9 U+1F463,1,0,./generated_img_dataset/train_google/237.png
😖🦶,dirty foot,U+1F616 U+1F9B6,1,0,./generated_img_dataset/train_google/238.png
👃🦶🤢,dirty foot,U+1F443 U+1F9B6 U+1F922,1,1,./generated_img_dataset/train_google/239.png
👎🐟,dirty dish,U+1F44E U+1F41F,1,0,./generated_img_dataset/train_google/240.png
🍽️🪰,dirty dish,U+1F37D U+FE0F U+1FAB0,1,1,./generated_img_dataset/train_google/241.png
🍽️😰👎,dirty dish,U+1F37D U+FE0F U+1F630 U+1F44E,1,1,./generated_img_dataset/train_google/242.png
🧼🍽️,dirty dish,U+1F9FC U+1F37D U+FE0F,1,1,./generated_img_dataset/train_google/243.png
🤮🍽️,dirty dish,U+1F92E U+1F37D U+FE0F,1,0,./generated_img_dataset/train_google/244.png
💩🍽️,dirty dish,U+1F4A9 U+1F37D U+FE0F,1,0,./generated_img_dataset/train_google/245.png
🤮🍽️,dirty dish,U+1F92E U+1F37D U+FE0F,1,0,./generated_img_dataset/train_google/246.png
🧼🍽️🧫,dirty dish,U+1F9FC U+1F37D U+FE0F U+1F9EB,1,1,./generated_img_dataset/train_google/247.png
👎🏚️,dirty slum,U+1F44E U+1F3DA U+FE0F,1,0,./generated_img_dataset/train_google/248.png
🪰🏠,dirty slum,U+1FAB0 U+1F3E0,1,1,./generated_img_dataset/train_google/249.png
🦠🛖🦠,dirty slum,U+1F9A0 U+1F6D6 U+1F9A0,1,0,./generated_img_dataset/train_google/250.png
🧼🦠🏚️,dirty slum,U+1F9FC U+1F9A0 U+1F3DA U+FE0F,1,1,./generated_img_dataset/train_google/251.png
🤮🛖,dirty slum,U+1F92E U+1F6D6,1,0,./generated_img_dataset/train_google/252.png
💩💸🏠,dirty slum,U+1F4A9 U+1F4B8 U+1F3E0,1,0,./generated_img_dataset/train_google/253.png
